('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961436 function calls (935804 primitive calls) in 13.069 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.004    0.001 typing.py:2761(_make_nmtuple)
        1    0.000    0.000    0.004    0.004 _abnf.py:1(<module>)
        1    0.000    0.000    0.004    0.004 unix_events.py:1(<module>)
      519    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
      308    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
        1    0.000    0.000    0.004    0.004 minidom.py:1(<module>)
      356    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
        1    0.000    0.000    0.003    0.003 header.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
     2008    0.002    0.000    0.003    0.000 typing.py:1134(_is_dunder)
        2    0.000    0.000    0.003    0.002 log.py:1(<module>)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.003    0.003 selenium_manager.py:56(_get_binary)
     1052    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      375    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
      729    0.001    0.000    0.003    0.000 typing.py:166(_type_convert)
     1382    0.001    0.000    0.003    0.000 filter.py:628(_match_attribute_value_helper)
        1    0.000    0.000    0.003    0.003 sslproto.py:1(<module>)
     8387    0.003    0.000    0.003    0.000 {method 'start' of 're.Match' objects}
     4179    0.002    0.000    0.003    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.003    0.003 key_actions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 relative_locator.py:1(<module>)
       41    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      321    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      403    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
       63    0.000    0.000    0.003    0.000 typing.py:1458(copy_with)
     4339    0.003    0.000    0.003    0.000 __init__.py:290(can_be_empty_element)
        1    0.000    0.000    0.003    0.003 ipaddress.py:1(<module>)
       51    0.000    0.000    0.003    0.000 typing.py:1519(__getitem__)
        2    0.000    0.000    0.003    0.001 __init__.py:71(search_function)
      825    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.003    0.003 storage.py:1(<module>)
      2/1    0.000    0.000    0.003    0.003 sysconfig.py:776(get_config_var)
     4925    0.002    0.000    0.003    0.000 {built-in method builtins.getattr}
      3/1    0.000    0.000    0.002    0.002 sysconfig.py:746(get_config_vars)
       20    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      928    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
     6048    0.002    0.000    0.002    0.000 element.py:2788(descendants)
      968    0.001    0.000    0.002    0.000 _compiler.py:398(_simple)
     1681    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.002    0.002 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.002    0.002 sysconfig.py:675(_init_config_vars)
        1    0.000    0.000    0.002    0.002 browsing_context.py:1(<module>)
       41    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
  309/306    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      262    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     1323    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
       68    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
      156    0.002    0.000    0.002    0.000 _parser.py:86(opengroup)
      308    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
    12967    0.002    0.000    0.002    0.000 typing.py:2154(cast)
      189    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
       67    0.000    0.000    0.002    0.000 typing.py:885(__init__)
     7384    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 webdriver.py:182(WebDriver)
        1    0.000    0.000    0.002    0.002 remote_connection.py:141(RemoteConnection)
        4    0.000    0.000    0.002    0.001 exceptions.py:1(<module>)
        1    0.000    0.000    0.002    0.002 gzip.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
        1    0.002    0.002    0.002    0.002 types.py:275(coroutine)
        1    0.000    0.000    0.002    0.002 expected_conditions.py:1(<module>)
        3    0.000    0.000    0.002    0.001 response.py:602(__init__)
       30    0.000    0.000    0.002    0.000 typing.py:1533(__getitem_inner__)
        1    0.000    0.000    0.002    0.002 filepost.py:1(<module>)
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
     2617    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     6108    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
        2    0.000    0.000    0.002    0.001 subprocess.py:807(__init__)
       41    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.002    0.002 _app.py:159(WebSocketApp)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
        2    0.000    0.000    0.002    0.001 core.py:21(where)
     4339    0.002    0.000    0.002    0.000 __init__.py:636(set_up_substitutions)
     9343    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      139    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 storage.py:111(CookieFilter)
       67    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
      129    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    0.002    0.002 __init__.py:135(BeautifulSoup)
     5165    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      298    0.001    0.000    0.002    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
     4478    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
     2498    0.001    0.000    0.002    0.000 filter.py:293(matches_string)
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
        3    0.000    0.000    0.002    0.001 connection.py:418(request)
        3    0.000    0.000    0.002    0.001 response.py:941(read)
        1    0.000    0.000    0.002    0.002 __meta__.py:1(<module>)
        2    0.000    0.000    0.002    0.001 readers.py:1(<module>)
        1    0.000    0.000    0.002    0.002 driver_finder.py:1(<module>)
      752    0.001    0.000    0.002    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.002    0.002 ui.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:33(wrapper)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:51(files)
        3    0.000    0.000    0.002    0.001 response.py:889(_raw_read)
     1121    0.002    0.000    0.002    0.000 {built-in method fromkeys}
        2    0.000    0.000    0.002    0.001 subprocess.py:1791(_execute_child)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pathlib.py:812(PureWindowsPath)
      924    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      308    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 poolmanager.py:1(<module>)
     4338    0.002    0.000    0.002    0.000 _markupbase.py:36(getpos)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.002    0.002 _common.py:107(from_package)
        1    0.000    0.000    0.002    0.002 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.002    0.002 _adapters.py:149(_native)
      519    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.002    0.002 _adapters.py:144(_reader)
        1    0.000    0.000    0.002    0.002 sysconfig.py:568(_init_posix)
        2    0.000    0.000    0.002    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:1192(get_resource_reader)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
     3529    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       30    0.000    0.000    0.002    0.000 typing.py:1515(copy_with)
        3    0.000    0.000    0.002    0.001 client.py:245(parse_headers)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
     1341    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
     3545    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.002    0.002 service.py:200(_start_process)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
        3    0.000    0.000    0.002    0.001 response.py:832(_fp_read)
       19    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:997(exec_module)
