('Total Revenue', 'Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         834135 function calls (809540 primitive calls) in 2.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2912    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1506    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
      198    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      204    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      169    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      268    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
     2585    0.001    0.000    0.004    0.000 css_parser.py:317(match)
       10    0.001    0.000    0.007    0.001 enum.py:919(_convert_)
    198/4    0.001    0.000    0.462    0.115 <frozen importlib._bootstrap>:911(_load_unlocked)
    459/8    0.001    0.000    0.461    0.058 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     3120    0.001    0.000    0.001    0.000 parser.py:128(clear_cdata_mode)
       22    0.001    0.000    1.112    0.051 __init__.py:1(<module>)
       21    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      201    0.001    0.000    0.141    0.001 _parser.py:969(parse)
     1026    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      142    0.001    0.000    0.006    0.000 typing.py:1242(__init__)
       79    0.001    0.000    0.008    0.000 css_parser.py:472(parse_attribute_selector)
      800    0.001    0.000    0.002    0.000 filter.py:628(_match_attribute_value_helper)
     2441    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      308    0.001    0.000    1.162    0.004 socket.py:693(readinto)
       28    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
     1037    0.001    0.000    0.003    0.000 _compiler.py:398(_simple)
      180    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
      338    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      169    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     1732    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      987    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
     1267    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
    169/4    0.001    0.000    0.462    0.115 <frozen importlib._bootstrap_external>:989(exec_module)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     3046    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
     1483    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     1835    0.001    0.000    0.001    0.000 filter.py:260(_base_match)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      415    0.001    0.000    0.001    0.000 _parser.py:265(getwhile)
      521    0.001    0.000    0.002    0.000 enum.py:726(__call__)
      201    0.001    0.000    0.087    0.000 _compiler.py:573(_code)
  198/194    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
  142/137    0.001    0.000    0.006    0.000 css_parser.py:395(freeze)
     1364    0.001    0.000    0.001    0.000 filter.py:293(matches_string)
      201    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      507    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  224/187    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
      268    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
       64    0.001    0.000    0.006    0.000 typing.py:687(Union)
      126    0.001    0.000    0.005    0.000 _markupbase.py:165(parse_comment)
      894    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.001    0.001    0.001    0.001 idnadata.py:1(<module>)
  773/707    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       90    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      268    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      308    0.000    0.000    1.159    0.004 ssl.py:1095(read)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       59    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      521    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      180    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      754    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      516    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
     1254    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      180    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       23    0.000    0.000    0.004    0.000 enum.py:528(__new__)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      224    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      676    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      126    0.000    0.000    0.004    0.000 _htmlparser.py:285(handle_comment)
        1    0.000    0.000    0.005    0.005 packages.py:1(<module>)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
     1121    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
       90    0.000    0.000    0.001    0.000 typing_extensions.py:3177(_collect_parameters)
    95/42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      267    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       38    0.000    0.000    0.334    0.009 response.py:1202(read_chunked)
      341    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      433    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       79    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      100    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        6    0.000    0.000    0.004    0.001 typing.py:2780(__new__)
      188    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
  170/167    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
      558    0.000    0.000    0.001    0.000 element.py:2169(get)
      785    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       56    0.000    0.000    0.003    0.000 typing.py:1449(__getitem__)
        6    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      146    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       50    0.000    0.000    0.001    0.000 enum.py:390(__setitem__)
        1    0.000    0.000    1.947    1.947 financial.py:25(main)
       52    0.000    0.000    0.001    0.000 functools.py:518(decorating_function)
      319    0.000    0.000    0.239    0.001 __init__.py:226(compile)
     1121    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      308    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      170    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       90    0.000    0.000    0.000    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
      204    0.000    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.003    0.003 typing_extensions.py:1(<module>)
      222    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      201    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       64    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
     2374    0.000    0.000    0.000    0.000 element.py:2228(__bool__)
      349    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
        3    0.000    0.000    0.020    0.007 utils.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:1(<module>)
      631    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      423    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      251    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      246    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      540    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       52    0.000    0.000    0.842    0.016 {method 'readline' of '_io.BufferedReader' objects}
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       31    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       57    0.000    0.000    0.320    0.006 client.py:633(_safe_read)
        1    0.000    0.000    0.195    0.195 connection.py:718(connect)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
      529    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      402    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        1    0.000    0.000    0.013    0.013 _lxml.py:1(<module>)
       73    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
      303    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      471    0.000    0.000    0.000    0.000 filter.py:322(matches_tag)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.095    0.095 dammit.py:1(<module>)
      308    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      169    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      359    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      205    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      224    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
       12    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
    84/47    0.000    0.000    0.233    0.005 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       81    0.000    0.000    0.000    0.000 typing.py:1178(__getattr__)
      205    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      535    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      201    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       35    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
    44/32    0.000    0.000    0.020    0.001 css_parser.py:579(parse_pseudo_class)
      271    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        2    0.000    0.000    0.004    0.002 cookies.py:1(<module>)
       37    0.000    0.000    0.320    0.009 response.py:1180(_handle_chunk)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      536    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       62    0.000    0.000    0.002    0.000 typing.py:1458(copy_with)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        8    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       45    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      153    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      188    0.000    0.000    0.013    0.000 _parser.py:98(closegroup)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      567    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.002    0.002 parser.py:56(parsestr)
       62    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
       22    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.540    0.540 __init__.py:211(__init__)
      118    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
    33/17    0.000    0.000    0.278    0.016 {built-in method builtins.__import__}
        1    0.000    0.000    0.116    0.116 css_parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 timeout.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      171    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      309    0.000    0.000    0.000    0.000 socket.py:732(readable)
       37    0.000    0.000    0.012    0.000 response.py:494(_decode)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      423    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      207    0.000    0.000    0.002    0.000 typing.py:723(<genexpr>)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
  142/137    0.000    0.000    0.002    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
       70    0.000    0.000    0.002    0.000 typing.py:885(__init__)
    82/56    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
      528    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       57    0.000    0.000    0.001    0.000 parser.py:124(set_cdata_mode)
    40/31    0.000    0.000    0.020    0.001 css_parser.py:746(parse_pseudo_open)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       75    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
      179    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      268    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
